id,title,artist,culture,image,hex1,hex2,hex3,percent1,percent2,percent3,hue1,hue2,hue3,year
11341,"Squeeze from a Relief of a Ramesside King with ""Blue Crown,"" Crook, and Flail",unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV058503_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
11342,One of 14 Squeezes from Egyptian Manuscripts,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV058522_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
11343,One of 14 Squeezes from Egyptian Manuscripts,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV058529_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
11365,One of 14 Squeezes from Egyptian Manuscripts,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV058521_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
11376,One of 14 Squeezes from Egyptian Manuscripts,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV058518_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
30641,"Head of Aristotle, after ""The School of Athens"" by Raphael",August Temmel,German,https://nrs.harvard.edu/urn-3:HUAM:INV020625_dynmc,#af9664,#967d64,#7d644b,0.528,0.390866667,0.043866667,Yellow,Brown,Yellow,0
53892,Study of a Female Nude,Unidentified Artist,Dutch,https://nrs.harvard.edu/urn-3:HUAM:770531,#969696,#afafaf,#7d7d7d,0.739288026,0.082977346,0.078899676,Grey,Grey,Grey,0
54451,Album of 16th-century Netherlandish Prints and Drawings,Adriaen Collaert,Netherlandish,https://nrs.harvard.edu/urn-3:HUAM:DDC108623_dynmc,#e1e1e1,#c8c8af,#afaf96,0.369061489,0.151197411,0.147702265,Grey,Green,Green,0
55091,Twenty-five Prints of Leo Mendez,Leopoldo Méndez,Mexican,,#966432,#969696,#7d7d7d,0.332777778,0.238395062,0.165802469,Orange,Grey,Grey,0
56526,Signorum veterum icones,Jan de Bisschop,Dutch,https://nrs.harvard.edu/urn-3:HUAM:INV166751_dynmc,#c87d19,#af6400,#c87d00,0.270032362,0.262006472,0.177605178,Brown,Brown,Yellow,0
58996,Reproduction of the Mask of Agamemnon,Emile Gilliéron or son,Mycenaean,https://nrs.harvard.edu/urn-3:HUAM:INV027377_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
94055,Landscape,André Giroux,French,https://nrs.harvard.edu/urn-3:HUAM:INV116353_dynmc,#321919,#c8c8c8,#afaf96,0.299764012,0.216224189,0.160235988,Brown,Grey,Green,0
94319,Landscape,André Giroux,French,https://nrs.harvard.edu/urn-3:HUAM:INV116352_dynmc,#7d4b19,#c8c8c8,#e1e1e1,0.649734513,0.14519174,0.061946903,Brown,Grey,Grey,0
95349,Zoomorphic flute or whistle,unknown,,https://nrs.harvard.edu/urn-3:HUAM:CARP11320_dynmc,#fafafa,#e1e1e1,#7d644b,0.570833333,0.234294872,0.07,White,Grey,Yellow,0
146534,Untitled,Gustavo Torner,Spanish,,#e1e1c8,#191919,#e1c8af,0.474765101,0.453243848,0.019060403,Green,Grey,Orange,0
147145,Offset Head of a Girl; verso: Offset Female Head,William Morris Hunt,American,https://nrs.harvard.edu/urn-3:HUAM:INV001378_dynmc,#e1e1c8,#c8c8af,#afafaf,0.902857143,0.058655462,0.038487395,Green,Green,Grey,0
155505,Procession of Penitents (I Sacconi),Unidentified Artist,Italian,https://nrs.harvard.edu/urn-3:HUAM:INV203310_dynmc,#c8c8af,#e1c8c8,#c8af96,0.386777778,0.140611111,0.130333333,Green,Orange,Brown,0
173311,"Zal Consults his Advisors (painting, recto); Rustam Fights the White Elephant (painting, verso), illustrated folio from a manuscript of the Shahnama of Firdawsi",Unknown Artist,Persian,https://nrs.harvard.edu/urn-3:HUAM:61566_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
178608,Italianate Sketch:  Two Shepherdesses in Landscape,Nicolaes Berchem the Elder,Dutch,https://nrs.harvard.edu/urn-3:HUAM:769040,#e1c8af,#c8af96,#7d644b,0.543760684,0.349059829,0.037264957,Orange,Brown,Yellow,0
179519,Antoninianus of Gallienus,Gallienus,Roman,https://nrs.harvard.edu/urn-3:HUAM:COIN09765_dlvr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
184339,Antoninianus of Victorinus,Victorinus,Roman,https://nrs.harvard.edu/urn-3:HUAM:COIN08250_dlvr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
186282,Icons and Paradigmata,Jan de Bisschop,Dutch,https://nrs.harvard.edu/urn-3:HUAM:INV163350_dynmc,#4b7d7d,#64967d,#32644b,0.593066667,0.2052,0.166,Green,Green,Green,0
186394,Standing Woman with Laundry Basket,William Morris Hunt,American,https://nrs.harvard.edu/urn-3:HUAM:VRS86163_dynmc,#e1e1e1,#969696,#000000,0.323508772,0.155719298,0.119578947,Grey,Grey,Black,0
186823,"Portrait Bust of a Man in Profile, Turned to the Right",Raymond-Joseph-Antoine Balze,French,https://nrs.harvard.edu/urn-3:HUAM:INV008044_dynmc,#e1e1c8,#c8c8af,#afafaf,0.877833333,0.091833333,0.029333333,Green,Green,Grey,0
